Target,Loss,Prediction
8,0.5435404181480408,6
5,0.40454572439193726,9
9,0.00854935497045517,9
4,0.01946648396551609,4
1,0.021336618810892105,1
8,0.33410921692848206,1
3,0.48842617869377136,2
7,0.01963268592953682,7
6,0.5698949098587036,8
2,0.38774555921554565,3
4,0.023241544142365456,4
7,0.011547903530299664,7
9,0.4630275070667267,7
2,0.025312649086117744,2
9,0.027213435620069504,9
9,0.014310142956674099,9
7,0.3128119707107544,9
1,0.6513354778289795,3
0,0.5021883249282837,2
6,0.0686672031879425,6
4,0.025604605674743652,4
3,0.03547458350658417,3
6,0.013630183413624763,6
6,0.035962771624326706,6
5,0.43491387367248535,2
6,0.01940285973250866,6
3,0.012084334157407284,3
5,0.04428151622414589,5
4,0.02537553757429123,4
4,0.36066001653671265,0
0,0.010037350468337536,0
9,0.017991041764616966,9
9,0.3790174424648285,1
7,0.20510907471179962,3
1,0.6952642202377319,4
2,0.3107633888721466,0
7,0.6482239365577698,3
7,0.01730303466320038,7
7,0.3309747874736786,3
5,0.37123942375183105,4
5,0.006084062159061432,5
1,0.6690378785133362,2
3,0.5450634956359863,2
0,0.3764450252056122,7
6,0.36322787404060364,1
1,0.018308499827980995,1
1,0.018581876531243324,1
7,0.6634148359298706,2
2,0.022563079372048378,2
3,0.3037337064743042,0
9,0.02941523864865303,9
9,0.2734687626361847,5
7,0.022562643513083458,7
9,0.011577727273106575,9
2,0.010424939915537834,2
2,0.027119779959321022,2
5,0.09957078099250793,3
2,0.01839412935078144,2
4,0.09029582142829895,2
8,0.5485957860946655,3
1,0.0189781803637743,1
1,0.028631528839468956,1
9,0.5933035016059875,8
0,0.47630923986434937,2
0,0.44706010818481445,1
0,0.467411071062088,1
9,0.5188766717910767,4
9,0.015574888326227665,9
7,0.018295692279934883,7
8,0.003590579144656658,8
9,0.5213543176651001,5
2,0.4494854509830475,9
7,0.6048203706741333,6
8,0.386506050825119,7
5,0.13519033789634705,2
6,0.2815391719341278,1
9,0.008880975656211376,9
0,0.02132224850356579,0
3,0.06238127499818802,3
4,0.3462596833705902,1
3,0.027756303548812866,3
8,0.627090334892273,2
4,0.025843238458037376,4
1,0.5462912321090698,5
7,0.01027124747633934,7
7,0.01880554109811783,7
4,0.021688567474484444,4
7,0.013114563189446926,7
1,0.4692074656486511,9
4,0.039917025715112686,4
1,0.5270655155181885,3
3,0.014374595135450363,3
8,0.10036562383174896,8
8,0.174129456281662,0
1,0.013221853412687778,1
6,0.03215406835079193,6
7,0.4956589937210083,1
3,0.5098132491111755,1
4,0.02402525395154953,4
1,0.025235319510102272,1
1,0.6739449501037598,8
3,0.02421235665678978,3
3,0.3309873044490814,9
9,0.4678419828414917,6
7,0.5136076807975769,6
9,0.4184897840023041,1
7,0.6184081435203552,8
5,0.04080133140087128,5
0,0.20616254210472107,2
9,0.01331139262765646,9
9,0.0212918259203434,9
8,0.04999399557709694,8
5,0.4628840386867523,1
7,0.017490874975919724,7
5,0.21992430090904236,7
7,0.5793837308883667,0
1,0.43464305996894836,0
6,0.019903095439076424,6
7,0.4444849193096161,9
1,0.0139354532584548,1
2,0.0375085286796093,2
6,0.3589365482330322,2
9,0.02035447023808956,9
0,0.409770667552948,2
6,0.01689617708325386,6
6,0.02468888647854328,6
1,0.017416074872016907,1
9,0.021992549300193787,9
3,0.028880830854177475,3
1,0.5624091625213623,0
4,0.03303876891732216,4
7,0.009020274505019188,7
6,0.062050942331552505,6
0,0.42189547419548035,7
1,0.016430363059043884,1
3,0.4319259226322174,8
1,0.013480997644364834,1
2,0.5186887383460999,1
2,0.017488092184066772,2
8,0.019930873066186905,8
7,0.38870829343795776,1
3,0.0373532697558403,3
7,0.5032966136932373,3
1,0.3194027543067932,6
2,0.026871351525187492,2
4,0.033469147980213165,4
9,0.03745012357831001,9
9,0.00985946785658598,9
5,0.033722084015607834,5
4,0.015209488570690155,4
5,0.3459301292896271,3
6,0.01576518826186657,6
6,0.5282269716262817,7
4,0.026223376393318176,4
5,0.3284831643104553,6
8,0.02576124109327793,8
6,0.5382489562034607,3
9,0.5726042985916138,5
4,0.02564174123108387,4
3,0.12338568270206451,5
1,0.03324638307094574,1
8,0.009986120276153088,8
4,0.016802452504634857,4
7,0.018431011587381363,7
6,0.018516182899475098,6
0,0.017528286203742027,0
9,0.02129872515797615,9
8,0.7280982136726379,5
0,0.4561413824558258,1
3,0.012859282083809376,3
1,0.1661851555109024,8
2,0.012768317013978958,2
0,0.3880329430103302,7
4,0.3149277865886688,5
3,0.024044040590524673,3
4,0.019445858895778656,4
1,0.030033595860004425,1
4,0.3233485817909241,5
6,0.2590082883834839,7
9,0.42639318108558655,0
6,0.46176964044570923,4
7,0.011682810261845589,7
5,0.03052985481917858,5
1,0.2406310886144638,5
1,0.011238380335271358,1
0,0.006910701282322407,0
9,0.01358911581337452,9
6,0.026241060346364975,6
9,0.020322762429714203,9
0,0.05088888108730316,0
8,0.016238683834671974,8
7,0.42158591747283936,4
8,0.011112970300018787,8
6,0.48913490772247314,8
0,0.400922030210495,2
5,0.022043803706765175,5
5,0.45961788296699524,2
3,0.06907415390014648,3
8,0.7069714069366455,5
0,0.02338353358209133,0
4,0.44818586111068726,6
1,0.010418363846838474,1
3,0.3635876178741455,9
3,0.020281212404370308,3
6,0.02203228324651718,6
8,0.46943187713623047,9
1,0.01772378198802471,1
7,0.5168871283531189,3
9,0.04140589386224747,9
6,0.023044416680932045,6
6,0.02270982787013054,6
7,0.03819335997104645,7
1,0.014662113972008228,1
0,0.017258265987038612,0
6,0.363843709230423,9
5,0.048631682991981506,5
8,0.01659950613975525,8
9,0.8309280276298523,5
2,0.02306458167731762,2
9,0.012241889722645283,9
0,0.019092392176389694,0
8,0.023781469091773033,8
1,0.5325818657875061,8
0,0.03278212994337082,0
5,0.23273296654224396,6
3,0.6089482307434082,9
2,0.4369112551212311,1
9,0.3802245855331421,1
7,0.48255449533462524,6
3,0.08319462090730667,5
7,0.03289167582988739,7
6,0.04376108944416046,6
6,0.0448465496301651,6
0,0.020614879205822945,0
6,0.0250399149954319,6
6,0.03539474681019783,6
2,0.5434264540672302,1
6,0.6110106110572815,7
5,0.5093626379966736,1
5,0.020232440903782845,5
2,0.37649664282798767,8
3,0.020965976640582085,3
1,0.5713529586791992,2
6,0.020524144172668457,6
3,0.4659731388092041,8
6,0.06774838268756866,6
8,0.0066101220436394215,8
3,0.40264198184013367,4
6,0.13019417226314545,9
3,0.45676836371421814,6
4,0.5532563924789429,1
9,0.32848238945007324,3
9,0.49737516045570374,8
1,0.5692744851112366,3
5,0.2904203236103058,4
5,0.5848539471626282,1
0,0.5079711675643921,7
6,0.4937596321105957,1
3,0.00884004682302475,3
4,0.4353727102279663,8
5,0.03486229479312897,5
7,0.405942440032959,1
9,0.4951779842376709,1
7,0.2863295376300812,4
0,0.011012256145477295,0
9,0.02409970946609974,9
0,0.34266161918640137,3
6,0.578240692615509,7
4,0.02521798200905323,4
2,0.6406489014625549,9
4,0.41757732629776,9
2,0.014271489344537258,2
6,0.2896040976047516,4
4,0.47890371084213257,9
9,0.01899321936070919,9
5,0.40707865357398987,1
0,0.02896462194621563,0
5,0.12126700580120087,3
9,0.01234552450478077,9
0,0.0207381509244442,0
8,0.016203777864575386,8
2,0.015136253088712692,2
9,0.5052973628044128,1
4,0.3251030445098877,1
6,0.6582125425338745,0
5,0.041083332151174545,5
4,0.24124719202518463,6
3,0.014853195287287235,3
5,0.397853821516037,2
7,0.02467568777501583,7
8,0.012611083686351776,8
8,0.023520464077591896,8
6,0.023215515539050102,6
6,0.3022715151309967,0
4,0.21036642789840698,7
9,0.020045842975378036,9
4,0.050182707607746124,4
3,0.3416975736618042,5
6,0.03194728121161461,6
9,0.5570777058601379,4
2,0.22017031908035278,0
1,0.1698346585035324,9
7,0.4553814232349396,1
4,0.19611313939094543,0
1,0.015699930489063263,1
5,0.13436269760131836,4
9,0.02167343720793724,9
9,0.01503236498683691,9
0,0.022189103066921234,0
8,0.012071089819073677,8
7,0.7045915722846985,4
8,0.30130890011787415,1
9,0.3763602077960968,1
8,0.39925965666770935,6
3,0.024638162925839424,3
5,0.2795894145965576,3
9,0.018493764102458954,9
2,0.41971343755722046,0
7,0.022394992411136627,7
6,0.16580329835414886,9
3,0.46125707030296326,7
4,0.6227540969848633,7
9,0.01646611839532852,9
1,0.02943521924316883,1
5,0.014074567705392838,5
1,0.01671859435737133,1
1,0.30289673805236816,6
6,0.0267313402146101,6
9,0.4668961465358734,8
2,0.3058600425720215,7
1,0.02074189856648445,1
3,0.02026410400867462,3
0,0.013545311987400055,0
3,0.02689404785633087,3
3,0.01423819363117218,3
2,0.015402662567794323,2
4,0.02389940619468689,4
5,0.016006488353013992,5
7,0.05252348631620407,7
5,0.045380014926195145,5
0,0.4267424941062927,9
0,0.013587046414613724,0
3,0.10699360817670822,3
4,0.013456945307552814,4
0,0.016175195574760437,0
4,0.1389535814523697,3
4,0.058173809200525284,4
6,0.024341147392988205,6
0,0.02480560541152954,0
3,0.31087347865104675,0
6,0.04040604084730148,6
8,0.45743468403816223,6
0,0.010038500651717186,0
2,0.3345949053764343,8
1,0.012793795205652714,1
4,0.35889336466789246,6
4,0.4257245659828186,3
7,0.45731207728385925,9
2,0.017104044556617737,2
5,0.03710576146841049,5
4,0.3610244691371918,1
3,0.10989135503768921,6
7,0.013490654528141022,7
9,0.5946077108383179,4
4,0.44384250044822693,1
8,0.0095045305788517,8
7,0.036275144666433334,7
8,0.5457291007041931,3
9,0.5114973187446594,6
1,0.39676910638809204,9
3,0.04558611288666725,3
9,0.4209745526313782,0
8,0.389367938041687,4
1,0.5062870979309082,0
7,0.38859060406684875,5
2,0.5734423995018005,1
0,0.007908186875283718,0
7,0.5194317102432251,3
4,0.01956637017428875,4
8,0.0165532436221838,8
1,0.43397432565689087,5
9,0.42200809717178345,4
7,0.004444627091288567,7
1,0.491487979888916,2
3,0.03435444459319115,3
9,0.01644008792936802,9
7,0.010233030654489994,7
5,0.34455883502960205,6
7,0.017511039972305298,7
4,0.43385928869247437,1
4,0.015625659376382828,4
7,0.01380376610904932,7
0,0.045027099549770355,0
1,0.032529331743717194,1
7,0.015784410759806633,7
1,0.6336483359336853,3
1,0.015190334990620613,1
0,0.24902428686618805,8
4,0.041157811880111694,4
4,0.02662099152803421,4
8,0.5037395358085632,2
0,0.0658625140786171,0
2,0.008531051687896252,2
2,0.02395210973918438,2
4,0.6002272963523865,0
0,0.014130719006061554,0
7,0.5561983585357666,9
0,0.01993924379348755,0
9,0.02171970158815384,9
6,0.024990065023303032,6
0,0.34104788303375244,8
3,0.2907642126083374,2
0,0.29268428683280945,7
4,0.2204819768667221,7
4,0.04655482992529869,4
3,0.33298107981681824,0
3,0.02172466740012169,3
9,0.4401187002658844,0
8,0.022548409178853035,8
9,0.024771826341748238,9
3,0.38522374629974365,4
2,0.013066229410469532,2
7,0.024030106142163277,7
3,0.52046799659729,2
9,0.5953266024589539,3
7,0.7490268349647522,2
5,0.01834637112915516,5
1,0.007601536810398102,1
9,0.015963789075613022,9
4,0.015495858155190945,4
9,0.4919658899307251,8
6,0.4215594530105591,5
1,0.018973857164382935,1
7,0.008266802877187729,7
8,0.5540129542350769,4
4,0.05651802569627762,4
2,0.4405246376991272,0
6,0.01114851888269186,6
3,0.4432463049888611,9
0,0.030749540776014328,0
6,0.46736475825309753,7
2,0.2815738916397095,8
3,0.5364101529121399,8
7,0.534233808517456,9
9,0.02878163568675518,9
8,0.4119798243045807,3
3,0.013755501247942448,3
4,0.2483692765235901,2
7,0.6441931128501892,0
4,0.029772475361824036,4
0,0.3641173541545868,3
6,0.0306838471442461,6
6,0.016247306019067764,6
7,0.56070876121521,0
9,0.525476336479187,1
0,0.05317790061235428,0
8,0.0167289637029171,8
0,0.017822058871388435,0
3,0.20343513786792755,4
8,0.042384203523397446,8
6,0.3375806212425232,8
1,0.01450550090521574,1
5,0.054330065846443176,5
5,0.4388500154018402,2
9,0.4022197127342224,6
8,0.011216811835765839,8
1,0.03175164759159088,1
0,0.010656766593456268,0
1,0.24360942840576172,0
7,0.022786490619182587,7
6,0.3724311292171478,7
5,0.026996945962309837,5
5,0.43001070618629456,9
6,0.1064031794667244,6
8,0.36849215626716614,2
3,0.4715062379837036,8
7,0.3978393077850342,3
7,0.5268862247467041,4
4,0.3793497681617737,7
3,0.02568301558494568,3
6,0.6424612402915955,9
3,0.3864085376262665,0
4,0.39393457770347595,1
5,0.37825900316238403,2
4,0.040647730231285095,4
4,0.469011127948761,8
0,0.48029109835624695,1
8,0.03077961690723896,8
6,0.022998588159680367,6
8,0.3423078656196594,4
4,0.04051491618156433,4
5,0.057774562388658524,5
7,0.006930154282599688,7
1,0.027605785056948662,1
3,0.01929837465286255,3
9,0.007851574569940567,9
4,0.26431888341903687,3
0,0.03878849372267723,0
7,0.4016573429107666,1
7,0.02261263318359852,7
5,0.03616746515035629,5
8,0.023981012403964996,8
2,0.02175157144665718,2
8,0.011822201311588287,8
5,0.36730870604515076,0
4,0.032989997416734695,4
1,0.0242869034409523,1
8,0.016008926555514336,8
9,0.02595972642302513,9
3,0.4187903106212616,8
2,0.01982075348496437,2
9,0.037268951535224915,9
9,0.016581755131483078,9
1,0.39208516478538513,2
7,0.022804219275712967,7
5,0.029984688386321068,5
7,0.015793517231941223,7
7,0.39579692482948303,3
8,0.019305456429719925,8
5,0.3925533592700958,8
8,0.5010448694229126,4
4,0.014066243544220924,4
0,0.5919170379638672,2
7,0.01129135861992836,7
1,0.03608749061822891,1
0,0.5307763814926147,6
4,0.01922757551074028,4
1,0.31093183159828186,0
7,0.5048139095306396,4
6,0.017783749848604202,6
8,0.5201992988586426,1
7,0.03045990690588951,7
6,0.034863926470279694,6
2,0.016082001850008965,2
5,0.01842496544122696,5
5,0.07749354839324951,5
1,0.019037988036870956,1
7,0.04394872114062309,7
2,0.02642388641834259,2
2,0.013828163035213947,2
2,0.012969929724931717,2
2,0.31310755014419556,9
5,0.019644251093268394,5
5,0.2800109088420868,4
7,0.2890303134918213,2
7,0.02014821395277977,7
8,0.031759995967149734,8
8,0.3526878356933594,1
0,0.17606014013290405,5
4,0.031843625009059906,4
0,0.5027998089790344,3
7,0.02512356825172901,7
2,0.26877740025520325,6
9,0.022466205060482025,9
8,0.01384324673563242,8
0,0.02977907471358776,0
6,0.024801328778266907,6
3,0.3562287986278534,0
2,0.03175484389066696,2
8,0.14965079724788666,2
2,0.00774658378213644,2
1,0.018862588331103325,1
3,0.46306923031806946,8
8,0.358300119638443,4
1,0.5007159113883972,0
0,0.4455501437187195,1
8,0.01937738247215748,8
8,0.023296339437365532,8
1,0.021948309615254402,1
5,0.02664226107299328,5
