epoch,w_net_1_0,w_net_1_1,w_net_1_2,w_net_1_3,w_net_1_4,w_net_1_5,w_net_1_6,w_net_1_7,w_net_1_8,w_net_1_9,w_net_2_0,w_net_2_1,w_net_2_2,w_net_2_3,w_net_2_4,w_net_2_5,w_net_2_6,w_net_2_7,w_net_2_8,w_net_2_9
6,0.4546173620723749,0.4620442319187089,0.4623483405194023,0.479272585060618,0.46022784554894647,0.478617106314948,0.4377591263019516,0.4577019568489713,0.4453598014888338,0.45255847206618327,0.4525329078579977,0.4606943335993615,0.4617293755584235,0.47600381396334357,0.4600217972852473,0.48342256034563724,0.4403193612774451,0.45461928934010154,0.4477981197427017,0.4523197201933957
6,0.09903,0.10065,0.10072,0.10441,0.10026,0.10426,0.09536,0.09971,0.09702,0.09859,0.0986,0.10038,0.10061,0.10372,0.10023,0.10533,0.09594,0.09906,0.09757,0.09856
7,0.46509537601118545,0.47210510834395536,0.4769480190495492,0.4986785932100021,0.47360063517268747,0.49877004821411,0.4537856929658741,0.46901945057148586,0.45366336633663373,0.4592981372851703,0.46811424100156496,0.4679448771719592,0.47615181652120964,0.4959155210201235,0.47096252903747104,0.4998983119788488,0.4537773848118676,0.4685188886667999,0.4531219028741328,0.46004056795131854
7,0.09877,0.10032,0.10088,0.10503,0.10029,0.10497,0.09575,0.09952,0.09655,0.09793,0.09895,0.09981,0.10081,0.10446,0.10006,0.10569,0.0961,0.09922,0.09683,0.09806
8,0.47167235494880555,0.470815578238034,0.48371854134566006,0.4988997799559911,0.4734946989397879,0.5007530876594035,0.45434889434889425,0.47008374533346786,0.4531156679275333,0.4623677786818552,0.46978323843771863,0.4705044751830757,0.4834022802946223,0.5000500350245172,0.47328167454966286,0.5012331064417481,0.4564894564894566,0.4674077817079334,0.4522608093400613,0.46585946804287404
8,0.09903,0.09999,0.10128,0.10511,0.10016,0.1052,0.09579,0.09941,0.09623,0.0978,0.099,0.09962,0.1012,0.10481,0.09999,0.10571,0.09617,0.09901,0.09635,0.09813
9,0.4718648728272613,0.4679157852321951,0.4812061131763734,0.4994909387090206,0.4764202028157921,0.4986269125147117,0.4596073068281723,0.46546119463632674,0.45385764061722256,0.4630994447248864,0.4686918177364038,0.46680040120361077,0.4824714711627429,0.49852100177479786,0.4745644599303135,0.5055114865560936,0.4563902439024391,0.46975160256410253,0.4539840637450199,0.4618328298086606
9,0.09917,0.09968,0.10135,0.10519,0.10026,0.10521,0.0961,0.09912,0.09612,0.09779,0.09898,0.09934,0.10136,0.10491,0.10003,0.10595,0.0962,0.09904,0.09621,0.09797
10,0.4746676940859178,0.47037914691943117,0.48565121412803525,0.4973272818961171,0.4723106955717661,0.5005134524543027,0.4565619223659889,0.46979332273449914,0.4534999008526671,0.46050056648470494,0.4695354523227385,0.4672384561683455,0.48317307692307687,0.4959612277867528,0.4692662904053362,0.4984827028120574,0.45751189666893277,0.46862803962773947,0.45176049333598567,0.46282245827010615
10,0.09936,0.09959,0.10157,0.10513,0.10013,0.10528,0.09614,0.09911,0.09603,0.09766,0.09906,0.09925,0.10154,0.10492,0.09989,0.10586,0.09633,0.09907,0.0961,0.09797
11,0.4684755026351747,0.4656794076445867,0.48055862554003814,0.5019641659480694,0.47273657289002546,0.5028201378734072,0.454134747593793,0.4681063787242551,0.4533016061867936,0.46015793251974146,0.4700721388184831,0.46757332792043027,0.48141395725716607,0.4949111953701856,0.4712947882736156,0.4973885094415428,0.4551028481012658,0.46825476935500154,0.4540275049115913,0.4648027958062906
11,0.09937,0.09916,0.10175,0.10548,0.10008,0.1057,0.09627,0.09898,0.09581,0.09741,0.09924,0.09898,0.10179,0.10512,0.09979,0.10585,0.09641,0.09908,0.09581,0.09793
12,0.47096021013717293,0.47113961519486924,0.4825880690420915,0.4955922585874961,0.4699286442405708,0.4963970364356034,0.4535960591133005,0.47215925889425436,0.4534,0.46456852791878167,0.4672961542244516,0.4665059756954907,0.48243067374111515,0.49168975069252063,0.46865489957395023,0.5005080268238162,0.45008545290037205,0.471701853503816,0.45411902667839343,0.4583078491335373
12,0.09958,0.09908,0.10195,0.10531,0.09988,0.10555,0.09622,0.09907,0.09576,0.0976,0.09922,0.09893,0.10207,0.10496,0.09971,0.10589,0.09626,0.09923,0.09586,0.09787
13,0.46850393700787407,0.46852731591448926,0.48023833167825225,0.4925531914893617,0.46891507517269404,0.5015943569426998,0.4562149623042723,0.46890145395799676,0.4525482434438397,0.45750154352747485,0.46935578617583706,0.46825633383010423,0.4812371134020619,0.4950010201999592,0.4722529962735421,0.49772141866455333,0.45377655389457106,0.46904240493728844,0.4520955117408104,0.4622307614521185
13,0.09954,0.09909,0.1019,0.10514,0.09979,0.10569,0.0964,0.09912,0.09583,0.09749,0.09928,0.09892,0.10206,0.10483,0.09975,0.10583,0.09623,0.09938,0.09594,0.0978
14,0.4708163661043242,0.4645258404415453,0.47947454844006565,0.4922841083290751,0.4709846122900533,0.4974914710014048,0.45642224169831536,0.46712246129097135,0.4516986706056131,0.4596993846464239,0.4703696460003912,0.4680174811283273,0.4790554414784395,0.49095712253606993,0.4701574882134618,0.4966689867753803,0.45126993502657997,0.4686751795690344,0.4530474488783005,0.46027230237756556
14,0.09961,0.09906,0.10195,0.10496,0.09968,0.10577,0.09638,0.0993,0.09585,0.09746,0.09948,0.09909,0.10205,0.10464,0.09969,0.10559,0.09613,0.09946,0.09602,0.09786
15,0.47340170612479626,0.4669577297082753,0.4828071586567464,0.5064687168610816,0.47049893735451875,0.5153963551485771,0.4558823529411765,0.4680441608427023,0.45238095238095233,0.4607023411371237,0.4747494033412888,0.46599698643897536,0.4838316046369737,0.4967015909972837,0.4688231105686095,0.5000000000000001,0.4511413696435722,0.46604594676652156,0.4507028212541123,0.46111167154241905
15,0.09951,0.09886,0.10178,0.1053,0.09955,0.10635,0.0963,0.09918,0.09575,0.09742,0.09972,0.09906,0.1021,0.1047,0.09969,0.10567,0.09588,0.09937,0.09599,0.09781
16,0.4690831556503199,0.46590567738059485,0.47947471822975907,0.4964781646206481,0.4677814029363784,0.5038438793613247,0.45346298868823176,0.4724649062530677,0.45073793378540083,0.4594979164549243,0.46874391431353457,0.46603004078384547,0.47835920633288787,0.491401771756123,0.47154308617234464,0.4968847352024922,0.45799299883313893,0.46682798951401494,0.4493071478416908,0.46139817629179325
16,0.09958,0.09891,0.10177,0.1051,0.09938,0.10643,0.09631,0.0994,0.09568,0.09743,0.09973,0.09907,0.10204,0.10462,0.09977,0.10573,0.09607,0.09938,0.09586,0.09773
17,0.47177497575169736,0.4654895666131621,0.48240845214893824,0.49452185937666204,0.4759714201820495,0.49681401831939476,0.45669745958429564,0.46506265664160407,0.4511397423191278,0.45849401258372235,0.4727639542703429,0.46657353821592495,0.4798482206953132,0.4923679867986799,0.47291687759441126,0.4976387249114521,0.4546351084812623,0.4705298670371104,0.45017386984600105,0.4578485405184731
17,0.09966,0.09872,0.10181,0.10511,0.09969,0.1065,0.09649,0.09915,0.09564,0.09722,0.09995,0.09905,0.10191,0.10463,0.09993,0.10559,0.09625,0.09932,0.09568,0.09769
18,0.46967205185256844,0.4683794466403163,0.47989331144850234,0.49597190663086144,0.4698989898989898,0.4985473561882626,0.4515202535406556,0.46740331491712717,0.45094527363184067,0.46060296371997966,0.46931686607487455,0.46795258187663247,0.4779149240028563,0.5014486532889795,0.4709089106948162,0.5006175771971497,0.45085150881386316,0.4671884406983745,0.44994964753272915,0.46268358477370364
18,0.09972,0.09873,0.10181,0.10527,0.09974,0.10639,0.0963,0.0991,0.09558,0.09736,0.09995,0.09905,0.10178,0.10492,0.09989,0.10572,0.09613,0.09925,0.09559,0.09772
19,0.46734653853696806,0.4658273381294964,0.4811272764269,0.4926961602671118,0.4748237163571357,0.4982178217821782,0.4527099872586493,0.4701127631972857,0.45176261479213986,0.4584727715241861,0.46522805296714065,0.4666265784726399,0.4771027558651777,0.4936225770814503,0.47398389946986075,0.4916903121199838,0.45265409294186276,0.46505730804341217,0.44944825529376664,0.4591412039386864
19,0.09956,0.09877,0.10187,0.10528,0.09989,0.10641,0.09613,0.09922,0.09557,0.0973,0.0998,0.09905,0.10176,0.10509,0.10011,0.10557,0.09625,0.09915,0.0955,0.09773
20,0.4669041258533688,0.4658682634730539,0.48243770639447614,0.5200912440779084,0.4689550731953558,0.5300658044020876,0.45046235138705426,0.465852417302799,0.45400943396226423,0.4601350670295332,0.4681160826943609,0.4650999296977001,0.48088692685863343,0.49233052944087097,0.4697758206565251,0.4908675799086758,0.4495760598503741,0.4646869983948635,0.4516448672215617,0.4623807132094424
20,0.09924,0.09867,0.1018,0.1058,0.09977,0.10697,0.09586,0.09907,0.09559,0.09722,0.09961,0.09911,0.10174,0.10501,0.10025,0.10529,0.09628,0.09919,0.09563,0.09788
21,0.47362363322463075,0.4657090835524984,0.48024316109422494,0.49431074413452825,0.4748748748748749,0.5016841890374604,0.4505254808645647,0.47295178361426893,0.45052757316344827,0.4590331831216714,0.46468912680483254,0.4661136961359498,0.4817363148841445,0.4935239871515905,0.4670573969280517,0.49926564182904143,0.45484560108758976,0.46834935897435903,0.4473710565848773,0.46303501945525294
21,0.09941,0.09865,0.10181,0.10568,0.10005,0.10686,0.09571,0.09907,0.09556,0.09719,0.09945,0.09912,0.10189,0.10511,0.10007,0.1054,0.09616,0.09927,0.09556,0.09796
